,County,Precinct,Registered Voters
665,Columbia,Grace Baptist Church,3558
666,Columbia,Christ Sanctified,2521
667,Columbia,Blanchard Park,2026
668,Columbia,Belair Baptist Church,2440
669,Columbia,Marvin Methodist,1937
670,Columbia,Westside Baptist Church,1516
671,Columbia,Trinity Baptist Church,2836
672,Columbia,Abilene Baptist,2046
673,Columbia,Augusta Christian,2179
674,Columbia,Savannah Rapids Pavilion,1549
675,Columbia,Gospel Water Branch,2096
676,Columbia,Genesis Church,1830
677,Columbia,Stevens Creek Church,2760
678,Columbia,Mtz Col Fire Hdqtr,1291
679,Columbia,Lakeside Middle,1923
680,Columbia,Martinez Baptist,1962
681,Columbia,Gold Cross EMS,1889
682,Columbia,Church of Our Savior,2310
683,Columbia,West Acres Baptist,2424
684,Columbia,Journey Comm Church,1268
685,Columbia,Wesley Methodist,2434
686,Columbia,Col Cty Main Library,2106
687,Columbia,Christ Church Presbyterian,2081
688,Columbia,Blue Ridge Elementary,2301
689,Columbia,Christ The King Luth Church,2148
690,Cook,Cecil,1899
691,Cook,Delle Beamguard,2446
692,Cook,Elm Pine,531
693,Cook,Lenox,1275
694,Cook,Massee,919
695,Cook,New Life Baptist Church,1233
696,Cook,Riverbend,1280
697,Cook,Sparks,1049
698,Coweta,Senoia,5838
699,Coweta,Moreland,2758
700,Coweta,Pine Road,2095
701,Coweta,Dresden,839
702,Coweta,Newnan,3478
703,Coweta,Sharpsburg,4526
704,Coweta,Fischer Road,4328
705,Coweta,Cedar Creek,5330
706,Coweta,Grantville,2572
707,Coweta,Haralson,2339
708,Coweta,Welcome,3212
709,Coweta,Panther Creek,3028
710,Coweta,Raymond,2492
711,Coweta,Turin,4477
712,Coweta,Smokey Road,2559
713,Coweta,Central,4395
714,Coweta,Newnan Centre,20465
715,Coweta,Greentop,2846
716,Coweta,Expo Center,1974
717,Coweta,White Oak,4636
718,Coweta,Madras,4462
719,Coweta,Cannongate,3653
720,Coweta,Westside,838
721,Coweta,Northside,2285
722,Coweta,Thomas Crossroads,4962
723,Coweta,Coweta Central Library,1723
724,Crawford,District 1A,516
725,Crawford,District 1B,1025
726,Crawford,District 2,1659
727,Crawford,District 3,1738
728,Crawford,District 4,1805
729,Crawford,District 5,1769
730,Crisp,Arabi,785
731,Crisp,Coney,859
732,Crisp,Cordele,8897
733,Crisp,Jamestown,1196
734,Crisp,Listonia,817
735,Dade,South Dade,969
736,Dade,New Salem,1255
737,Dade,Davis,2012
738,Dade,New Home,711
739,Dade,West Brow,1237
740,Dade,Trenton,3573
741,Dade,North Dade,1903
742,Dawson,West,2723
743,Dawson,Central,9891
744,Dawson,East,8915
745,DeKalb,Allgood Elem,2858
746,DeKalb,Ashford Park Elem,2432
747,DeKalb,Austin,2538
748,DeKalb,Avondale,2906
749,DeKalb,Austin Drive,2536
750,DeKalb,Ashford Dunwoody Rd,2966
751,DeKalb,Ashford Parkside,3664
752,DeKalb,Avondale High,3151
753,DeKalb,Boulevard,4675
754,DeKalb,Briar Vista Elem,2965
755,DeKalb,Briarlake Elem,1752
756,DeKalb,Briarwood,2428
757,DeKalb,Brockett Elem,2752
758,DeKalb,Briarcliff,3122
759,DeKalb,Brockett,2681
760,DeKalb,Brookhaven,3444
761,DeKalb,Browns Mill Elem,3829
762,DeKalb,Bouldercrest Road,2004
763,DeKalb,Bethune Middle,4838
764,DeKalb,Burgess Elem,3493
765,DeKalb,Columbia Drive,2526
766,DeKalb,Canby Lane Elem,2004
